,mots,pourcentage
229,following,0.05486392938689559
230,16,0.05427225956017417
231,myocardial,0.05389574239771508
232,liver,0.053841954231649496
233,role,0.05362680156738716
234,factor,0.05351922523525599
235,percent,0.05319649623886249
236,over,0.05308891990673132
237,its,0.0528199790764034
238,insulin,0.05271240274427224
239,versus,0.05217452108361639
240,term,0.05185179208722289
241,skin,0.05174421575509172
242,right,0.05174421575509172
243,c,0.051421486758698225
244,beta,0.05120633409443588
245,each,0.0511525459283703
246,different,0.05104496959623913
247,presence,0.05104496959623913
248,system,0.050829816931976794
249,some,0.05066845243378005
250,underwent,0.05034572343738654
251,new,0.050291935271320955
252,hypertension,0.0501305707731242
253,small,0.04953890094640278
254,l,0.049485112780337195
255,bone,0.04943132461427162
256,seven,0.049377536448206034
257,postoperative,0.0491623837839437
258,eight,0.04910859561787811
259,ii,0.049054807451812524
260,development,0.04900101928574694
261,glucose,0.04883965478755019
262,protein,0.048785866621484604
263,evidence,0.04867829028935344
264,could,0.04867829028935344
265,h,0.04862450212328786
266,demonstrated,0.04819419679476318
267,death,0.04787146779836968
268,measured,0.04749495063591059
269,stage,0.04738737430377943
270,old,0.04701085714132034
271,drug,0.04701085714132034
272,determine,0.04695706897525476
273,min,0.04690328080918917
274,dna,0.04668812814492684
275,test,0.04663433997886125
276,mm,0.04663433997886125
277,decreased,0.04631161098246775
278,important,0.04631161098246775
279,rates,0.046257822816402165
280,major,0.04593509382000866
281,arterial,0.04577372932181191
282,initial,0.04561236482361516
283,level,0.04496690683082815
284,cause,0.044751754166565814
285,100,0.04464417783443465
286,multiple,0.044482813336237895
287,abnormalities,0.04437523700410673
288,acid,0.04416008433984439
289,men,0.04405250800771322
290,muscle,0.04399871984164764
291,evaluation,0.04389114350951647
292,including,0.04383735534345089
293,aortic,0.04372977901131972
294,kg,0.0434608381809918
295,effective,0.0434608381809918
296,number,0.04335326184886063
297,controls,0.043245685516729464
298,growth,0.04308432101853271
299,17,0.042976744686401544
300,infants,0.042869168354270376
301,diabetes,0.042869168354270376
302,obtained,0.042438863025745704
303,aids,0.04227749852754896
304,hospital,0.04222371036148337
305,vs,0.042169922195417785
306,concentrations,0.0421161340293522
307,they,0.04206234586328662
308,01,0.04195476953115545
309,differences,0.04190098136508987
310,history,0.04184719319902428
311,hours,0.0417934050329587
312,while,0.0417934050329587
313,examination,0.041632040534761945
314,001,0.041632040534761945
315,imaging,0.04157825236869637
316,40,0.04157825236869637
317,reduced,0.04141688787049961
318,diabetic,0.041363099704434025
319,immunodeficiency,0.04120173520623728
320,seen,0.04087900620984378
321,outcome,0.04082521804377819
322,evaluated,0.04071764171164702
323,required,0.040663853545581434
324,21,0.04061006537951585
325,possible,0.040394912715253514
326,revealed,0.040394912715253514
327,antibody,0.040394912715253514
328,received,0.04034112454918793
329,malignant,0.03996460738672884
330,technique,0.03985703105459768
331,vascular,0.03974945472246651
332,19,0.03974945472246651
333,60,0.03969566655640092
334,any,0.03953430205820418
335,population,0.039480513892138594
336,examined,0.039480513892138594
337,model,0.039480513892138594
338,gastric,0.03937293756000742
339,placebo,0.03937293756000742
340,care,0.03937293756000742
341,weeks,0.03926536122787625
342,if,0.039050208563613915
343,equal,0.03899642039754833
344,antibodies,0.038781267733286
345,non,0.038619903235089244
346,presented,0.0384585387368925
347,concentration,0.038243386072630156
348,review,0.03818959790656458
349,free,0.038135809740498995
350,identified,0.03792065707623665
351,calcium,0.03781308074410549
352,respiratory,0.03754413991377757
353,infarction,0.03754413991377757
354,whether,0.037436563581646404
355,medical,0.037328987249515236
356,large,0.037328987249515236
357,thus,0.037275199083449645
358,difference,0.03722141091738407
359,further,0.03700625825312173
360,loss,0.03695247008705615
361,negative,0.036898681920990564
362,ischemia,0.036898681920990564
363,association,0.03684489375492498
364,based,0.036791105588859396
365,22,0.03673731742279381
366,breast,0.03673731742279381
367,described,0.03668352925672823
368,through,0.036575952924597054
369,fluid,0.03646837659246589
370,values,0.03646837659246589
371,administration,0.036360800260334725
372,nine,0.03630701209426914
373,weight,0.03630701209426914
374,previously,0.03630701209426914
375,whereas,0.03625322392820356
376,single,0.03625322392820356
377,alpha,0.03614564759607239
378,cent,0.0357691304336133
379,complete,0.03560776593541655
380,infections,0.03533882510508863
381,antigen,0.03523124877295746
382,followed,0.03490851977656396
383,oral,0.03490851977656396
384,systemic,0.034854731610498374
385,biopsy,0.03463957894623604
386,included,0.034585790780170454
387,duration,0.03437063811590812
388,pregnancy,0.03437063811590812
389,conclude,0.03420927361771137
390,resection,0.03420927361771137
391,hepatic,0.03415548545164578
392,caused,0.0341016972855802
393,volume,0.0341016972855802
394,detected,0.0341016972855802
395,second,0.034047909119514615
396,contrast,0.034047909119514615
397,dependent,0.03399412095344903
398,decrease,0.03388654462131786
399,method,0.03372518012312111
400,elevated,0.03367139195705553
401,reviewed,0.03356381562492436
402,gene,0.03356381562492436
403,exercise,0.03345623929279319
404,reduction,0.03345623929279319
405,cerebral,0.033402451126727614
406,procedure,0.03334866296066202
407,features,0.03334866296066202
408,given,0.03329487479459644
409,g,0.033241086628530855
410,potential,0.03318729846246527
411,abnormal,0.03302593396426852
412,mice,0.032972145798202936
413,infected,0.032810781300006184
414,determined,0.032810781300006184
415,inflammatory,0.03264941680180943
416,considered,0.03259562863574385
417,result,0.032541840469678264
418,average,0.032541840469678264
419,urinary,0.0324342641375471
420,often,0.03238047597148152
421,same,0.03232668780541593
422,addition,0.03221911147328476
423,range,0.03200395880902243
424,overall,0.03178880614476009
425,26,0.03178880614476009
426,brain,0.03178880614476009
427,28,0.03173501797869451
428,abdominal,0.03168122981262893
429,change,0.03162744164656334
430,index,0.03151986531443217
431,area,0.03151986531443217
432,23,0.03125092448410425
433,alone,0.0310895599859075
434,bypass,0.03082061915557958
435,peripheral,0.030766830989513997
436,receptor,0.03060546649131725
437,twenty,0.030444101993120493
438,oxygen,0.030282737494923745
439,operation,0.030175161162792574
440,ratio,0.03012137299672699
441,life,0.030067584830661406
442,expression,0.030067584830661406
443,prevalence,0.03001379666459582
444,diseases,0.02996000849853024
445,body,0.029852432166399066
446,status,0.029852432166399066
447,improved,0.029744855834267902
448,il,0.029691067668202318
449,late,0.029583491336071153
450,local,0.029583491336071153
451,frequency,0.029583491336071153
452,r,0.029583491336071153
453,valve,0.02952970317000557
454,vitro,0.02952970317000557
455,cholesterol,0.02952970317000557
456,obstruction,0.029475915003939982
457,indicate,0.029368338671808814
458,responses,0.02926076233967765
459,useful,0.029206974173612066
460,nerve,0.02915318600754648
461,sensitivity,0.029099397841480894
462,died,0.029099397841480894
463,diagnostic,0.02904560967541531
464,tests,0.028991821509349727
465,correlation,0.028938033343284146
466,s,0.028938033343284146
467,chest,0.028884245177218562
468,95,0.02877666884508739
469,course,0.028722880679021807
470,27,0.028669092512956223
471,bleeding,0.02845393984869389
472,whom,0.028400151682628303
473,several,0.02834636351656272
474,chemotherapy,0.028238787184431555
475,many,0.02818499901836597
476,70,0.02818499901836597
477,anti,0.028023634520169215
478,central,0.02796984635410363
479,trial,0.027862270021972467
480,produced,0.027808481855906883
481,recurrent,0.027808481855906883
482,upper,0.0277546936898413
483,graft,0.02770090552377571
484,methods,0.027647117357710128
485,animals,0.027647117357710128
486,catheter,0.027593329191644547
487,tract,0.027593329191644547
488,specimens,0.027378176527382208
489,agents,0.027270600195251044
490,size,0.027270600195251044
491,end,0.027270600195251044
492,minutes,0.02721681202918546
493,secondary,0.02710923569705429
494,onset,0.02705544753098871
495,32,0.026894083032791956
496,d,0.026894083032791956
497,health,0.026840294866726372
498,value,0.026678930368529617
499,isolated,0.026678930368529617
500,additional,0.026678930368529617
501,samples,0.026625142202464033
502,median,0.026625142202464033
503,31,0.026571354036398452
504,appears,0.026571354036398452
505,conditions,0.026517565870332868
506,correlated,0.026517565870332868
507,adult,0.0264099895382017
508,undergoing,0.02635620137213612
509,x,0.02630241320607053
510,29,0.02630241320607053
511,36,0.02624862504000495
512,causes,0.026194836873939364
513,assessment,0.02614104870787378
514,randomized,0.026033472375742616
515,bladder,0.026033472375742616
516,vein,0.025979684209677032
517,deaths,0.02587210787754586
518,lesion,0.025818319711480277
519,hemorrhage,0.025818319711480277
520,active,0.025710743379349112
521,clinically,0.02565695521328353
522,severity,0.02565695521328353
523,recurrence,0.02560316704721794
524,standard,0.025549378881152357
525,frequently,0.025495590715086773
526,previous,0.025495590715086773
527,35,0.025495590715086773
528,stenosis,0.025495590715086773
529,experience,0.02544180254902119
530,complication,0.025388014382955605
531,transplantation,0.025334226216890025
532,support,0.02528043805082444
533,made,0.02528043805082444
534,improvement,0.02528043805082444
535,elderly,0.02528043805082444
536,75,0.025226649884758853
537,against,0.025226649884758853
538,angioplasty,0.02517286171869327
539,times,0.025119073552627685
540,45,0.02501149722049652
541,trauma,0.02501149722049652
542,e,0.024957709054430937
543,rare,0.02490392088836535
544,detection,0.02490392088836535
545,functional,0.02490392088836535
546,least,0.024850132722299766
547,procedures,0.024850132722299766
548,venous,0.02479634455623418
549,intravenous,0.02479634455623418
550,combination,0.02479634455623418
551,33,0.02479634455623418
552,wall,0.02479634455623418
553,mass,0.024742556390168598
554,approach,0.024688768224103017
555,healthy,0.024688768224103017
556,literature,0.024688768224103017
557,combined,0.024634980058037433
558,dysfunction,0.024634980058037433
559,arteries,0.024634980058037433
560,alcohol,0.02458119189197185
561,grade,0.02458119189197185
562,rat,0.024527403725906262
563,spinal,0.024527403725906262
564,histologic,0.024527403725906262
565,morbidity,0.024473615559840678
566,involved,0.024366039227709513
567,operative,0.024366039227709513
568,being,0.02431225106164393
569,congenital,0.02431225106164393
570,side,0.02431225106164393
571,assessed,0.02420467472951276
572,magnetic,0.024150886563447178
573,site,0.02409709839738159
574,anterior,0.02409709839738159
575,pattern,0.024043310231316006
576,despite,0.023989522065250426
577,will,0.02393573389918484
578,repair,0.02393573389918484
579,recovery,0.02393573389918484
580,relationship,0.02393573389918484
581,48,0.023881945733119254
582,occur,0.023881945733119254
583,comparison,0.023828157567053674
584,platelet,0.023828157567053674
585,signs,0.023720581234922503
586,leukemia,0.023720581234922503
587,resonance,0.023666793068856922
588,drugs,0.023666793068856922
589,even,0.023666793068856922
590,about,0.023613004902791338
591,ischemic,0.02355921673672575
592,noted,0.02355921673672575
593,stroke,0.02355921673672575
594,suggests,0.02350542857066017
595,consecutive,0.023451640404594586
596,neck,0.023451640404594586
597,likely,0.023397852238529
598,administered,0.023397852238529
599,available,0.02334406407246342
600,membrane,0.02334406407246342
601,prospective,0.023290275906397834
602,diagnosed,0.023290275906397834
603,phase,0.023290275906397834
604,successful,0.023236487740332247
605,known,0.023182699574266667
606,pancreatic,0.023182699574266667
607,benign,0.023128911408201083
608,formation,0.0230751232421355
609,000,0.02296754691000433
610,90,0.022913758743938747
611,stimulation,0.022913758743938747
612,cm,0.022913758743938747
613,receiving,0.022698606079676407
614,exposure,0.022644817913610827
615,80,0.022644817913610827
616,preoperative,0.022644817913610827
617,micrograms,0.022591029747545243
618,binding,0.022591029747545243
619,lymphoma,0.02253724158147966
620,fetal,0.022483453415414075
621,hormone,0.02242966524934849
622,authors,0.022375877083282907
623,discussed,0.022322088917217323
624,various,0.022322088917217323
625,relative,0.022322088917217323
626,testing,0.022322088917217323
627,screening,0.02226830075115174
628,atrial,0.02226830075115174
629,controlled,0.022214512585086155
630,efficacy,0.022214512585086155
631,distal,0.02216072441902057
632,does,0.022106936252954987
633,confirmed,0.022053148086889404
634,older,0.02199935992082382
635,arthritis,0.021945571754758236
636,general,0.021945571754758236
637,characterized,0.021945571754758236
638,occlusion,0.02189178358869265
639,disorders,0.021837995422627068
640,measurements,0.021784207256561484
641,resistance,0.021784207256561484
642,aged,0.021784207256561484
643,resulted,0.0217304190904959
644,since,0.021676630924430316
645,none,0.021676630924430316
646,hypertensive,0.021676630924430316
647,mild,0.021622842758364732
648,34,0.021569054592299148
649,bowel,0.021569054592299148
650,shown,0.021569054592299148
651,immune,0.021569054592299148
652,double,0.021515266426233564
653,iii,0.021515266426233564
654,under,0.02146147826016798
655,metastatic,0.02146147826016798
656,retinal,0.02146147826016798
657,techniques,0.021353901928036812
658,therefore,0.021353901928036812
659,lymph,0.021353901928036812
660,replacement,0.02130011376197123
661,acquired,0.02130011376197123
662,individuals,0.02119253742984006
663,degrees,0.02113874926377448
664,distribution,0.02113874926377448
665,computed,0.021084961097708892
666,subsequent,0.021084961097708892
667,involvement,0.02103117293164331
668,indicated,0.020977384765577724
669,carcinomas,0.020977384765577724
670,stress,0.02092359659951214
671,doses,0.020869808433446557
672,achieved,0.020869808433446557
673,current,0.020869808433446557
674,daily,0.020816020267380973
675,peak,0.020816020267380973
676,infusion,0.02076223210131539
677,degree,0.02076223210131539
678,problems,0.02076223210131539
679,37,0.020708443935249805
680,cutaneous,0.020708443935249805
681,bacterial,0.02065465576918422
682,investigated,0.02065465576918422
683,young,0.02065465576918422
684,38,0.02060086760311864
685,criteria,0.02060086760311864
686,prior,0.02060086760311864
687,experimental,0.02049329127098747
688,better,0.0203857149388563
689,therapeutic,0.0203857149388563
690,characteristics,0.0203857149388563
691,prolonged,0.0203857149388563
692,sex,0.0203857149388563
693,disorder,0.0203857149388563
694,direct,0.020278138606725137
695,information,0.020278138606725137
696,good,0.020278138606725137
697,vivo,0.020278138606725137
698,interval,0.020278138606725137
699,hg,0.020278138606725137
700,types,0.02022435044065955
701,pathogenesis,0.020170562274593965
702,month,0.020116774108528385
703,affected,0.020116774108528385
704,events,0.020116774108528385
705,laboratory,0.0200629859424628
706,recent,0.0200629859424628
707,65,0.0200629859424628
708,monitoring,0.0200629859424628
709,prostate,0.020009197776397213
710,usually,0.01990162144426605
711,reconstruction,0.01990162144426605
712,defect,0.01990162144426605
713,episodes,0.01984783327820046
714,deficiency,0.01984783327820046
715,analyzed,0.01979404511213488
716,adults,0.01979404511213488
717,having,0.019740256946069297
718,moderate,0.01968646878000371
719,increasing,0.01968646878000371
720,release,0.01968646878000371
721,balloon,0.019632680613938126
722,thyroid,0.019632680613938126
723,later,0.019578892447872545
724,areas,0.019578892447872545
725,progression,0.019578892447872545
726,ten,0.019578892447872545
727,then,0.019525104281806958
728,defects,0.019525104281806958
729,spontaneous,0.019471316115741374
730,damage,0.019471316115741374
731,esophageal,0.019471316115741374
732,out,0.019417527949675793
733,part,0.01936373978361021
734,complex,0.019309951617544622
735,male,0.01925616345147904
736,suggested,0.01925616345147904
737,csf,0.01925616345147904
738,ct,0.019202375285413457
739,series,0.01914858711934787
740,bile,0.01914858711934787
741,limited,0.01914858711934787
742,describe,0.01909479895328229
743,radiation,0.019041010787216706
744,rapid,0.018987222621151118
745,injuries,0.018987222621151118
746,tomography,0.018933434455085538
747,white,0.018933434455085538
748,necrosis,0.018933434455085538
749,baseline,0.01882585812295437
750,marked,0.018772069956888786
751,absence,0.018718281790823202
752,knee,0.018664493624757618
753,evaluate,0.018664493624757618
754,mechanism,0.018664493624757618
755,would,0.018610705458692034
756,score,0.018610705458692034
757,do,0.018610705458692034
758,intake,0.018610705458692034
759,m,0.01855691729262645
760,doppler,0.018503129126560866
761,production,0.018449340960495282
762,region,0.018449340960495282
763,family,0.018449340960495282
764,laser,0.018449340960495282
765,assess,0.018395552794429698
766,systolic,0.018395552794429698
767,39,0.018395552794429698
768,igg,0.018395552794429698
769,biliary,0.018395552794429698
770,short,0.018341764628364114
771,persistent,0.018341764628364114
772,injection,0.018341764628364114
773,prognosis,0.018234188296232946
774,asymptomatic,0.018180400130167362
775,tested,0.018180400130167362
776,partial,0.018180400130167362
777,show,0.01812661196410178
778,poor,0.01812661196410178
779,44,0.018072823798036194
780,posterior,0.018072823798036194
781,visual,0.01801903563197061
782,42,0.017965247465905027
783,provide,0.017965247465905027
784,asthma,0.017965247465905027
785,appropriate,0.017911459299839443
786,endoscopic,0.017911459299839443
787,55,0.017911459299839443
788,basis,0.01785767113377386
789,approximately,0.017803882967708275
790,mitral,0.017803882967708275
791,man,0.017696306635577107
792,prevention,0.017642518469511523
793,presenting,0.017642518469511523
794,presentation,0.017642518469511523
795,pneumonia,0.017642518469511523
796,advanced,0.017642518469511523
797,increases,0.01758873030344594
798,remained,0.017534942137380355
799,defined,0.017534942137380355
800,sites,0.017534942137380355
801,femoral,0.017534942137380355
802,documented,0.017534942137380355
803,mechanisms,0.01748115397131477
804,very,0.017427365805249187
805,independent,0.017373577639183603
806,46,0.017373577639183603
807,derived,0.017373577639183603
808,ulcer,0.01731978947311802
809,need,0.01731978947311802
810,sensitive,0.017266001307052435
811,especially,0.017266001307052435
812,carotid,0.017266001307052435
813,removal,0.0170508486427901
814,bilateral,0.0170508486427901
815,gastrointestinal,0.0170508486427901
816,frequent,0.0170508486427901
817,percutaneous,0.016997060476724515
818,failed,0.016997060476724515
819,47,0.016997060476724515
820,enzyme,0.016997060476724515
821,receptors,0.016997060476724515
822,shock,0.01694327231065893
823,selected,0.01694327231065893
824,monoclonal,0.01694327231065893
825,progressive,0.016889484144593347
826,head,0.016889484144593347
827,emergency,0.016835695978527764
828,surface,0.016835695978527764
829,setting,0.01678190781246218
830,intestinal,0.01678190781246218
831,mediated,0.01678190781246218
832,dogs,0.01678190781246218
833,statistically,0.01678190781246218
834,02,0.01678190781246218
835,duct,0.016728119646396596
836,metabolic,0.016728119646396596
837,matched,0.016728119646396596
838,culture,0.01667433148033101
839,particularly,0.01667433148033101
840,hepatitis,0.01667433148033101
841,must,0.016620543314265428
842,develop,0.016620543314265428
843,origin,0.016620543314265428
844,echocardiography,0.016620543314265428
845,content,0.016566755148199844
846,week,0.016566755148199844
847,blind,0.01651296698213426
848,marrow,0.01651296698213426
849,remaining,0.016459178816068676
850,regression,0.016405390650003092
851,fibrosis,0.016405390650003092
852,third,0.016405390650003092
853,reports,0.01635160248393751
854,consistent,0.01635160248393751
855,lymphocytes,0.016297814317871924
856,nasal,0.016297814317871924
857,sodium,0.016297814317871924
858,illness,0.01624402615180634
859,pylori,0.01624402615180634
860,diastolic,0.01619023798574076
861,41,0.01619023798574076
862,variables,0.01619023798574076
863,prognostic,0.01619023798574076
864,female,0.016136449819675172
865,physical,0.016082661653609588
866,cardiovascular,0.016082661653609588
867,manifestations,0.016082661653609588
868,cervical,0.016028873487544008
869,airway,0.016028873487544008
870,cystic,0.016028873487544008
871,43,0.01597508532147842
872,superior,0.01597508532147842
873,include,0.01597508532147842
874,cord,0.01597508532147842
875,state,0.015921297155412836
876,smoking,0.015921297155412836
877,thirty,0.015867508989347256
878,symptomatic,0.015867508989347256
879,radical,0.01581372082328167
880,tissues,0.01581372082328167
881,half,0.01581372082328167
882,nervous,0.01581372082328167
883,post,0.01581372082328167
884,sudden,0.01581372082328167
885,form,0.015759932657216084
886,plus,0.015706144491150504
887,fractures,0.015706144491150504
888,conventional,0.01565235632508492
889,pathologic,0.01565235632508492
890,67,0.01565235632508492
891,like,0.01565235632508492
892,patterns,0.01565235632508492
893,delayed,0.01554477999295375
894,length,0.015490991826888168
895,influence,0.015490991826888168
896,metastases,0.015490991826888168
897,process,0.01543720366082258
898,72,0.015383415494756999
899,hour,0.015329627328691415
900,mucosal,0.015329627328691415
901,limb,0.015329627328691415
902,condition,0.015329627328691415
903,identify,0.015275839162625829
904,agent,0.015275839162625829
905,v,0.015275839162625829
906,basal,0.015275839162625829
907,fat,0.015275839162625829
908,relation,0.015222050996560247
909,dialysis,0.015222050996560247
910,regional,0.015222050996560247
911,appeared,0.015168262830494663
912,unusual,0.015168262830494663
913,aorta,0.015168262830494663
914,whose,0.01511447466442908
915,yr,0.01511447466442908
916,intervention,0.01511447466442908
917,occurs,0.015060686498363495
918,ability,0.015060686498363495
919,grafts,0.015060686498363495
920,highly,0.015060686498363495
921,child,0.015060686498363495
922,dissection,0.015060686498363495
923,suspected,0.01500689833229791
924,differentiation,0.01500689833229791
925,mellitus,0.01500689833229791
926,edema,0.01500689833229791
927,remains,0.014953110166232329
928,class,0.014953110166232329
929,specificity,0.014953110166232329
930,few,0.014953110166232329
931,neurologic,0.014953110166232329
932,line,0.014953110166232329
933,successfully,0.014899322000166743
934,reaction,0.014899322000166743
935,continuous,0.014899322000166743
936,significance,0.014899322000166743
937,iv,0.014899322000166743
938,wound,0.014845533834101159
939,birth,0.014845533834101159
940,necessary,0.014791745668035577
941,assay,0.014791745668035577
942,appear,0.014791745668035577
943,occurrence,0.014737957501969991
944,impaired,0.014737957501969991
945,knowledge,0.014684169335904407
946,sepsis,0.014684169335904407
947,extent,0.014684169335904407
948,ethanol,0.014684169335904407
949,invasive,0.014630381169838825
950,established,0.01457659300377324
951,1988,0.014522804837707655
952,fraction,0.014469016671642073
953,vessels,0.014469016671642073
954,intraoperative,0.014469016671642073
955,enhanced,0.014415228505576489
956,aspiration,0.014415228505576489
957,eyes,0.014415228505576489
958,activation,0.014415228505576489
959,clearance,0.014307652173445321
960,main,0.014307652173445321
961,colon,0.014307652173445321
962,importance,0.014307652173445321
963,fibrillation,0.014307652173445321
964,52,0.014253864007379737
965,proximal,0.014200075841314152
966,immediate,0.014200075841314152
967,54,0.014200075841314152
968,1989,0.014200075841314152
969,might,0.014200075841314152
970,expressed,0.014200075841314152
971,natural,0.014200075841314152
972,secretion,0.014200075841314152
973,85,0.01414628767524857
974,hip,0.01414628767524857
975,m2,0.01414628767524857
976,transfusion,0.01414628767524857
977,occurring,0.01414628767524857
978,node,0.01414628767524857
979,genetic,0.01414628767524857
980,design,0.01414628767524857
981,toxicity,0.014092499509182985
982,parameters,0.014092499509182985
983,relatively,0.0140387113431174
984,physicians,0.013984923177051816
985,reduce,0.013984923177051816
986,flap,0.013984923177051816
